# Taxon Label, Partition Group (0 or 1), Fiedler Value
T993,0,-0.070852
T544,0,-0.071180
T734,0,-0.071709
T633,0,-0.071599
T589,0,-0.071336
T855,0,-0.071474
T924,0,-0.071311
T176,0,-0.071500
T573,0,-0.071505
T757,0,-0.071613
T596,0,-0.071708
T798,0,-0.072082
T498,0,-0.072066
T384,0,-0.071658
T767,0,-0.071747
T887,0,-0.071670
T70,0,-0.071827
T221,0,-0.071574
T575,0,-0.071599
T431,0,-0.071425
T847,0,-0.071509
T123,0,-0.071509
T491,0,-0.071509
T635,0,-0.071363
T827,0,-0.071455
T40,0,-0.071594
T886,0,-0.071809
T154,0,-0.071878
T955,0,-0.071622
T229,0,-0.071716
T620,0,-0.071716
T101,0,-0.071716
T165,0,-0.071716
T666,0,-0.071541
T422,0,-0.071490
T644,0,-0.071769
T87,0,-0.071491
T915,0,-0.071662
T79,0,-0.071586
T818,0,-0.071586
T766,0,-0.071380
T661,0,-0.071211
T91,0,-0.071462
T189,0,-0.071462
T909,0,-0.071221
T578,0,-0.071221
T817,0,-0.071297
T998,0,-0.071377
T615,0,-0.071319
T585,0,-0.071600
T462,0,-0.071484
T300,0,-0.071821
T708,0,-0.071695
T697,0,-0.071639
T777,0,-0.071735
T48,0,-0.071646
T806,0,-0.071009
T90,0,-0.071103
T819,0,-0.071108
T124,0,-0.071008
T72,0,-0.071799
T328,0,-0.071556
T138,0,-0.071556
T583,0,-0.071604
T653,0,-0.072638
T614,0,-0.072821
T372,1,-0.073169
T823,1,-0.073169
T361,0,-0.072376
T943,0,-0.072376
T600,0,-0.072376
T969,0,-0.072484
T194,0,-0.072826
T739,0,-0.072638
T350,0,-0.072486
T995,0,-0.072486
T515,0,-0.072486
T61,0,-0.072619
T293,0,-0.072619
T729,0,-0.072619
T851,0,-0.071979
T528,0,-0.071979
T803,0,-0.072258
T730,0,-0.071883
T966,0,-0.072044
T454,0,-0.072044
T834,0,-0.072024
T511,0,-0.071782
T907,0,-0.072207
T24,0,-0.072207
T74,0,-0.072206
T809,0,-0.071357
T949,0,-0.071453
T402,0,-0.071554
T948,0,-0.071453
T770,0,-0.071359
T934,0,-0.071855
T436,0,-0.071752
T29,0,-0.071457
T474,0,-0.071457
T479,0,-0.071556
T738,0,-0.071556
T642,0,-0.071556
T357,0,-0.071460
T349,0,-0.071556
T351,0,-0.071556
T558,0,-0.071715
T481,0,-0.071715
T264,0,-0.071715
T727,0,-0.071715
T340,0,-0.071715
T905,0,-0.071263
T802,0,-0.071166
T413,0,-0.071454
T627,0,-0.071354
T921,0,-0.071519
T480,0,-0.071422
T172,0,-0.071372
T746,0,-0.072130
T829,0,-0.071921
T160,0,-0.060377
T31,0,-0.060377
T132,0,-0.060377
T674,0,-0.060459
T157,0,-0.060210
T982,0,-0.060330
T234,0,-0.061185
T368,0,-0.060299
T283,0,-0.060190
T551,0,-0.060186
T990,0,-0.060190
T835,0,-0.060190
T412,0,-0.060570
T458,0,-0.060290
T150,0,-0.060286
T629,0,-0.060670
T85,0,-0.060571
T127,0,-0.060571
T66,0,-0.060571
T433,0,-0.060571
T523,0,-0.060488
T504,0,-0.060493
T241,0,-0.060567
T310,0,-0.060988
T315,0,-0.060913
T582,0,-0.060924
T896,0,-0.060412
T434,0,-0.060542
T689,0,-0.060333
T808,0,-0.059926
T75,0,-0.059926
T560,0,-0.060033
T610,0,-0.059916
T786,0,-0.059994
T177,0,-0.060038
T660,0,-0.059931
T453,0,-0.059718
T263,0,-0.059718
T611,0,-0.059718
T762,0,-0.059713
T774,0,-0.059761
T872,0,-0.059954
T187,0,-0.059954
T563,0,-0.060199
T983,0,-0.059963
T618,0,-0.059699
T256,0,-0.059718
T244,0,-0.059824
T790,0,-0.059509
T232,0,-0.059697
T499,0,-0.059692
T634,0,-0.059590
T571,0,-0.059218
T608,0,-0.059957
T850,0,-0.059957
T427,0,-0.059957
