# Taxon Label, Partition Group (0 or 1), Fiedler Value
T642,1,-0.024663
T583,1,-0.024735
T449,1,-0.024735
T615,1,-0.024875
T180,1,-0.024801
T309,1,-0.024801
T295,1,-0.024735
T685,1,-0.024663
T895,1,-0.024663
T485,1,-0.024663
T300,1,-0.024882
T35,1,-0.024882
T998,1,-0.024663
T70,1,-0.024663
T294,1,-0.024663
T178,1,-0.024735
T598,1,-0.024735
T744,1,-0.024735
T127,1,-0.024735
T88,1,-0.024518
T304,1,-0.024735
T949,1,-0.024882
T48,1,-0.024735
T291,1,-0.024735
T989,1,-0.024735
T784,1,-0.024956
T5,1,-0.024078
T192,1,-0.024078
T556,1,-0.024147
T140,1,-0.024147
T15,1,-0.024704
T865,1,-0.024921
T684,1,-0.024848
T89,1,-0.024405
T558,1,-0.024405
T572,1,-0.024405
T67,1,-0.024325
T548,1,-0.024325
T855,1,-0.024325
T571,1,-0.024404
T709,1,-0.024404
T146,1,-0.024335
T743,1,-0.024476
T555,1,-0.024338
T73,1,-0.024407
T963,1,-0.024407
T543,1,-0.024338
T790,1,-0.024338
T844,1,-0.024338
T957,1,-0.024407
T408,1,-0.024338
T154,1,-0.024407
T624,1,-0.024338
T45,1,-0.024338
T637,1,-0.024338
T434,1,-0.024407
T644,1,-0.024407
T965,1,-0.024407
T495,1,-0.024477
T654,1,-0.024477
T499,1,-0.024547
T223,1,-0.024547
T535,1,-0.024408
T586,1,-0.024338
T943,1,-0.024407
T355,1,-0.024407
T677,1,-0.024407
T494,1,-0.024407
T330,1,-0.024339
T979,1,-0.024339
T693,1,-0.024388
T173,1,-0.024617
T492,1,-0.024617
T108,1,-0.024752
T897,1,-0.024824
T86,1,-0.024752
T253,1,-0.024752
T547,1,-0.024688
T956,1,-0.024688
T722,1,-0.024688
T399,1,-0.024688
T934,1,-0.024688
T737,1,-0.024617
T149,1,-0.024617
T830,1,-0.024617
T703,1,-0.024617
T446,1,-0.024688
T344,1,-0.024688
T398,1,-0.024759
T161,1,-0.024617
T44,1,-0.024617
T27,1,-0.024547
T824,1,-0.024477
T772,1,-0.024477
T862,1,-0.024472
T486,1,-0.024477
T753,1,-0.024477
T85,1,-0.024477
T380,1,-0.024477
T610,1,-0.024477
T712,1,-0.024477
T962,1,-0.024477
T357,1,-0.024477
T278,1,-0.024477
T124,1,-0.024477
T467,1,-0.024617
T24,1,-0.024599
T258,1,-0.024477
T886,1,-0.024547
T590,1,-0.024477
T719,1,-0.024477
T340,1,-0.024547
T837,1,-0.024547
T915,1,-0.024476
T50,1,-0.024688
T456,1,-0.024547
T37,1,-0.024547
T519,1,-0.024547
T114,1,-0.024668
T53,1,-0.024810
T646,1,-0.024739
T209,1,-0.024547
T971,1,-0.024547
T311,1,-0.024615
T488,1,-0.024688
T74,1,-0.024688
T853,1,-0.024688
T241,1,-0.024547
T431,1,-0.024630
T375,1,-0.024560
T33,1,-0.024630
T638,1,-0.024491
T562,1,-0.024491
T577,1,-0.024491
T826,1,-0.024491
T724,1,-0.024491
T632,1,-0.024491
T326,1,-0.024491
T894,1,-0.024561
T783,1,-0.024561
T80,1,-0.024491
T348,1,-0.024491
T8,1,-0.024140
T396,1,-0.024140
T960,1,-0.024140
T297,1,-0.024209
T602,1,-0.024140
T95,1,-0.024209
T892,1,-0.024284
T38,1,-0.024423
T97,1,-0.024354
T767,1,-0.024206
T741,1,-0.024206
T525,1,-0.024206
T765,1,-0.024206
T812,1,-0.024273
T23,1,-0.024206
T419,1,-0.024206
T505,1,-0.024206
T406,1,-0.024206
T471,1,-0.024206
T322,1,-0.024275
T972,1,-0.024275
T608,1,-0.024275
T251,1,-0.024206
T388,1,-0.024335
T717,1,-0.024335
T94,1,-0.024338
T816,1,-0.024414
T259,1,-0.024464
T445,1,-0.024464
T364,1,-0.024387
T181,1,-0.024387
T457,1,-0.024387
T69,1,-0.024130
T779,1,-0.024544
T75,1,-0.024544
T936,1,-0.024945
T877,1,-0.024872
T544,1,-0.024872
T145,1,-0.024992
T882,1,-0.024970
T217,1,-0.024919
T869,1,-0.024919
T299,1,-0.024919
T379,1,-0.024919
T392,1,-0.024528
T286,1,-0.024779
T948,1,-0.024779
T635,1,-0.024779
T992,1,-0.024779
T3,1,-0.024779
T863,1,-0.025071
T133,1,-0.024852
T42,1,-0.024852
T255,1,-0.024924
T666,1,-0.025136
T834,1,-0.025061
T898,1,-0.025061
T612,1,-0.025061
T939,1,-0.025126
T276,1,-0.025050
T98,1,-0.024985
T26,1,-0.024986
T627,1,-0.024986
T498,1,-0.024986
T679,1,-0.024986
T807,1,-0.024986
T942,1,-0.024986
T68,1,-0.024912
T698,1,-0.024839
T19,1,-0.024839
T568,1,-0.024747
T257,1,-0.024893
T459,1,-0.025042
T611,1,-0.024893
T58,1,-0.024893
T66,1,-0.024893
T432,1,-0.024893
T351,1,-0.024893
T603,1,-0.024893
T702,1,-0.024967
T102,1,-0.024893
T789,1,-0.024893
T605,1,-0.024892
T872,1,-0.024893
T552,1,-0.024893
T801,1,-0.024967
T730,1,-0.024967
T354,1,-0.024967
T768,1,-0.024820
T732,1,-0.027220
T185,1,-0.027220
T755,1,-0.027220
T165,1,-0.027078
T450,1,-0.027432
T109,1,-0.027507
T160,1,-0.027435
T774,1,-0.027435
T151,1,-0.027363
T210,1,-0.027363
T662,1,-0.027010
T356,1,-0.027010
T716,1,-0.027010
T249,1,-0.027010
T183,1,-0.027010
T905,1,-0.027010
T52,1,-0.027010
T243,1,-0.027010
T728,1,-0.027010
T752,1,-0.027172
T888,1,-0.027172
T751,1,-0.027083
T491,1,-0.027301
T272,1,-0.027230
T914,1,-0.027230
T523,1,-0.027230
T665,1,-0.027230
T194,1,-0.027230
T57,1,-0.027373
T9,1,-0.027445
T757,1,-0.027159
T688,1,-0.027159
T955,1,-0.027134
T319,1,-0.027134
T81,1,-0.027436
T443,1,-0.027436
T954,1,-0.027436
T407,1,-0.027436
T336,1,-0.027436
T41,1,-0.027436
