# Taxon Label, Partition Group (0 or 1), Fiedler Value
T849,1,-0.093581
T501,1,-0.093579
T427,1,-0.094137
T700,0,-0.063417
T55,0,-0.063430
T538,0,-0.063433
T97,0,-0.063426
T540,0,-0.063432
T358,0,-0.063432
T468,0,-0.063430
T863,0,-0.063430
T26,0,-0.063430
T5,0,-0.063432
T622,0,-0.063430
T229,0,-0.035844
T225,0,-0.035836
T176,0,-0.035834
T166,0,-0.035835
T472,0,-0.035834
T539,0,-0.035835
T853,0,-0.035689
T925,0,-0.035688
T51,0,-0.035689
T601,0,-0.035689
T858,0,-0.035689
T375,0,-0.020301
T281,0,-0.020301
T828,0,-0.018750
T315,0,-0.018752
T187,0,-0.018704
T543,0,-0.018704
T525,0,-0.018704
T132,0,-0.018704
T521,0,-0.018703
T817,0,-0.018703
T679,0,0.009545
T762,0,0.009547
T191,0,0.009575
T91,0,0.009575
T44,0,-0.015890
T830,0,-0.015889
T710,0,-0.021223
T463,0,-0.021223
T111,0,-0.021223
T620,0,-0.021223
T692,0,-0.021223
T389,0,-0.021232
T35,0,-0.021232
T429,0,-0.021232
T881,0,-0.021235
T674,0,-0.021233
T784,0,-0.021348
T483,0,-0.021349
T165,0,-0.021348
T714,0,-0.018839
T570,1,-0.112472
T567,1,-0.112472
T959,0,0.200390
T32,0,0.200391
T637,0,0.200662
T789,0,0.200673
T372,0,0.275896
T749,0,0.275721
T80,0,0.275734
T658,0,0.275725
T516,0,0.261563
T686,0,0.267879
T993,0,0.267878
T475,0,0.267885
T869,0,0.267883
T292,0,0.007909
T122,0,0.007893
T729,0,0.028104
T921,0,0.006750
T61,0,0.006716
T966,0,0.006709
T848,0,0.006711
T158,0,0.006777
T465,0,0.006772
T703,0,0.006762
T949,0,0.006760
T310,0,0.004776
T588,0,0.004775
T765,0,0.004775
T699,0,0.004318
T351,0,0.004320
T935,0,-0.001192
T303,0,-0.001178
T432,0,-0.001149
T572,0,-0.001059
T447,0,-0.001059
T365,0,-0.001058
T284,0,-0.001035
T299,0,-0.001031
T861,0,-0.001031
T239,0,-0.004927
T973,0,-0.004927
T2,0,-0.004927
T391,0,-0.010727
T642,0,-0.010727
T650,0,0.000120
T36,0,0.000120
T366,0,0.000114
T826,0,-0.000096
T149,0,-0.000095
T915,0,-0.000093
T976,0,-0.000094
T653,0,0.000034
T426,0,0.000014
T251,0,-0.000023
T755,0,-0.000039
T696,0,-0.000028
T469,0,-0.000013
T997,0,-0.000014
T332,0,0.000301
T582,0,0.000311
T96,0,0.000297
T56,0,0.000345
T446,0,0.000345
T110,0,0.000345
T205,0,0.000345
T746,0,0.000344
T768,0,0.000345
T209,0,0.000343
T70,0,0.000344
T788,0,0.000361
T431,0,0.000365
T550,0,0.000359
T383,0,0.000359
T337,0,0.000360
T670,0,-0.070371
T781,0,-0.070372
T566,0,-0.070254
T683,0,-0.070251
T235,0,-0.070251
T638,0,-0.070252
T774,0,-0.063996
T49,0,-0.063997
T301,0,-0.009893
T600,0,-0.009892
T493,0,-0.009913
T172,0,-0.042915
T355,0,-0.035350
T193,0,-0.035350
T168,0,-0.035350
T330,0,-0.035351
T272,0,-0.035349
T967,0,-0.035354
T574,0,-0.035361
T174,0,-0.035362
T322,0,-0.040098
T445,0,-0.040234
T318,0,-0.015132
T262,0,-0.015146
T896,0,-0.015124
T527,0,-0.014939
T561,0,-0.014907
T546,0,-0.014907
T972,0,-0.014906
T354,0,-0.014907
T916,0,-0.014906
T313,0,-0.014924
T537,0,-0.014922
T938,0,-0.014926
T181,0,-0.014925
T62,0,-0.016131
T628,0,-0.015266
T397,0,-0.015261
T326,0,-0.015259
