# Taxon Label, Partition Group (0 or 1), Fiedler Value
T1585,1,-0.001052
T1247,1,-0.001052
T1346,1,-0.001052
T2645,1,-0.001050
T1432,1,0.010310
T1578,1,-0.004081
T2755,1,-0.003943
T1738,1,-0.003942
T2176,1,-0.000150
T1523,1,-0.000150
T1328,1,-0.000149
T2320,1,-0.000152
T2842,1,-0.000152
T1807,1,-0.000152
T2391,1,-0.000152
T2717,1,-0.000151
T1526,1,-0.000152
T942,1,-0.001493
T1556,1,-0.001494
T2527,1,-0.001490
T1265,1,-0.001490
T2319,1,-0.004673
T1969,1,-0.004674
T896,1,-0.004673
T2339,1,-0.004673
T2546,1,-0.004734
T1469,1,-0.004734
T2269,1,-0.004755
T1216,1,-0.004757
T1036,1,-0.004778
T2302,1,-0.003570
T1338,1,-0.003570
T2139,1,-0.003575
T418,1,-0.003564
T479,1,-0.003565
T616,1,-0.003565
T2451,1,-0.003565
T2251,1,-0.006966
T342,1,-0.006966
T1047,1,-0.006964
T1906,1,-0.006965
T1298,1,-0.007604
T1929,1,-0.007234
T1373,1,0.004418
T1878,1,0.004461
T463,1,-0.013229
T1477,1,-0.013233
T400,1,-0.013234
T1395,1,-0.013234
T2157,1,-0.013234
T658,1,-0.013228
T494,1,-0.013228
T202,1,-0.013228
T60,1,-0.011149
T2951,1,-0.009291
T227,1,-0.009294
T2277,1,-0.009290
T2655,1,-0.009291
T303,1,-0.009290
T1119,1,-0.009291
T1631,1,-0.009301
T1513,1,-0.009300
T804,1,-0.009234
T42,1,-0.009276
T2886,1,-0.011580
T592,1,-0.011580
T678,1,-0.011580
T945,1,-0.011580
T547,1,-0.011634
T2633,1,-0.011635
T2020,1,-0.011635
T1115,1,-0.011650
T1857,1,-0.011651
T2710,1,-0.011654
T276,1,-0.011654
T971,1,-0.011654
T1273,1,-0.011654
T2346,1,-0.011651
T2343,1,-0.011649
T73,1,-0.011649
T76,1,-0.011649
T2397,1,-0.010512
T2584,1,-0.010511
T2047,1,-0.010496
T1261,1,-0.010670
T1574,1,-0.010997
T209,1,-0.011056
T583,1,-0.011000
T514,1,-0.011000
T52,1,-0.011000
T2224,1,-0.011009
T526,1,-0.011009
T1105,1,-0.011009
T1652,1,-0.011010
T507,1,-0.011023
T1529,1,-0.011027
T1034,1,-0.011029
T2026,1,-0.011028
T487,1,-0.011029
T2201,1,-0.011038
T597,1,-0.011038
T2349,1,-0.011038
T2704,1,-0.011038
T1903,1,-0.010904
T363,1,-0.010906
T1722,1,-0.010895
T1137,1,-0.010897
T462,1,-0.010869
T325,1,-0.010870
T995,1,-0.011014
T1023,1,-0.011011
T682,1,-0.010989
T2810,1,-0.010989
T595,1,-0.005076
T2737,1,-0.005075
T1785,1,-0.007709
T1503,1,-0.007539
T332,1,-0.007536
T2271,1,-0.007536
T2028,1,-0.007534
T2757,1,-0.007563
T643,1,-0.007515
T679,1,-0.000735
T1839,1,-0.000734
T1165,1,-0.000733
T1262,1,-0.000733
T1042,1,-0.000555
T904,1,-0.000863
T224,1,-0.000862
T1381,1,-0.000854
T449,1,-0.000854
T959,1,-0.000854
T1263,1,-0.000852
T2947,1,0.004241
T2573,1,0.006795
T529,1,0.006795
T1563,1,0.006788
T1000,1,0.006801
T1975,1,0.006800
T2976,1,0.006800
T1547,1,0.006801
T1185,1,0.006819
T2015,1,0.006819
T557,1,0.006825
T1982,1,0.006824
T1999,1,0.006825
T1779,1,0.006785
T214,1,0.006784
T156,1,0.006784
T170,1,0.006787
T1189,1,0.006788
T2400,1,0.006787
T2735,1,0.006788
T1123,1,0.006786
T1910,1,0.006787
T236,1,0.006787
T2593,1,0.006784
T2740,1,0.004922
T524,1,0.004400
T1297,1,0.004399
T2347,1,0.004400
T2887,1,0.004400
T2089,1,0.004400
T2844,1,0.004400
T221,1,0.004401
T2465,1,0.004401
T1884,1,0.004401
T2489,1,0.004401
T2756,1,0.004402
T1998,1,0.004392
T705,1,-0.002572
T2525,1,-0.002572
T2420,1,-0.002572
T854,1,-0.002572
T1971,1,-0.002572
T1701,1,-0.002572
T182,1,0.005043
T2454,1,0.005043
T448,1,0.005043
T1081,1,0.005053
T566,1,0.005051
T753,1,0.005051
T1905,1,0.005051
T14,1,0.005051
T1551,1,0.005051
T163,1,0.005050
T1360,1,0.005054
T343,1,0.005051
T752,1,0.005051
T2944,1,0.005051
T640,1,0.005055
T1100,1,0.004993
T2827,1,0.004991
T404,1,0.004989
T217,1,0.003125
T2552,1,0.003126
T2620,1,0.003126
T2769,1,0.004786
T845,1,0.002230
T2359,1,0.002108
T726,1,0.002108
T1401,1,0.002102
T1402,1,0.002103
T362,1,0.002100
T2526,1,0.002100
T2292,1,0.002099
T1333,1,0.002099
T2058,1,0.003014
T2206,1,0.002965
T2190,1,0.002965
T546,1,0.002966
T2731,1,0.003331
T1080,1,0.003332
T1688,1,0.003332
T2029,1,0.003384
T612,1,0.003384
T248,1,0.003384
T2487,1,0.003384
T590,1,0.003384
T1371,1,0.003391
T85,1,0.003391
T2235,1,0.003391
T740,1,0.003391
T164,1,0.003390
T1129,1,0.003483
T445,1,-0.012984
T2703,1,-0.012997
T467,1,-0.013002
T2057,1,-0.012933
T93,1,-0.012933
T1407,1,-0.012944
T140,1,-0.012936
T2207,1,-0.012935
T661,1,-0.012931
T706,1,0.005127
T2348,1,0.005128
T2720,1,0.007857
T1667,1,0.007745
T2363,1,0.007745
T530,1,0.003380
T1882,1,0.007066
T795,1,0.005932
T2175,1,0.005933
T2653,1,0.005932
T2079,1,0.005715
T288,1,0.005715
T830,1,0.005536
T2843,1,0.005531
T2611,1,-0.038453
T1470,1,-0.038452
T1689,1,-0.038452
T2187,1,-0.037970
T2240,1,-0.037972
T137,1,-0.037973
T226,1,-0.037973
T2963,1,0.002064
T1848,1,0.002065
T1821,1,0.002065
T9,1,0.002059
T1650,1,0.002055
T2322,1,0.002056
T1202,1,0.002056
T2672,1,0.002055
T1597,1,0.002048
T123,1,0.002048
T384,1,-0.006655
T229,1,-0.006655
T2698,1,-0.006655
T1920,1,-0.006337
T2402,1,0.001489
T1579,1,0.001491
T927,1,0.000074
T917,1,0.000073
T1499,1,0.000072
T2695,1,0.000074
T1400,1,0.000074
T1177,1,0.000057
T2989,1,-0.000045
T2283,1,-0.000011
T1744,1,-0.016620
T2183,1,-0.009544
T92,1,-0.009537
T2387,1,-0.009541
T617,1,-0.009557
T1860,1,-0.009557
T2968,1,-0.009558
T1789,1,-0.009557
T1768,1,-0.009552
T317,1,-0.009569
T2576,1,-0.009573
T2549,1,-0.001855
T2325,1,-0.001848
T1609,1,-0.001789
T2857,1,-0.001791
T1922,1,-0.006121
T2353,1,-0.006091
T2127,1,0.012745
T2506,1,0.012745
T2855,1,0.012749
T1733,1,0.012749
T968,1,0.012749
T728,1,0.012780
T645,1,0.012745
T26,1,0.005420
T2303,1,0.010258
T622,1,0.010250
T1474,1,0.010238
T2791,1,0.010236
T2226,1,0.010240
T2915,1,0.010240
T625,1,0.010240
T78,1,0.010251
T2758,1,0.010253
T169,1,0.010252
T1092,1,0.010260
T1426,1,0.010260
T370,1,0.010259
T1439,1,0.009083
T2596,1,0.009062
T1703,1,-0.017526
T1793,1,-0.013336
T2104,1,-0.002242
T2256,1,-0.002242
T2559,1,-0.002243
T2817,1,-0.002242
T341,1,-0.002242
T1051,1,-0.002240
T2012,1,-0.001843
T1174,1,-0.001843
T2293,1,-0.001844
T2049,1,-0.002019
T703,1,-0.001173
T1140,1,-0.001173
T235,1,-0.001118
T2787,1,-0.001104
T2743,1,-0.001103
T868,1,-0.001104
T70,1,-0.021109
T1759,1,0.005009
T2156,1,0.002131
T1960,1,-0.008968
T1594,1,-0.008933
T144,1,-0.008934
T2753,1,-0.009472
T1877,1,-0.009472
T1956,1,-0.027781
T414,1,-0.007146
T569,1,-0.007112
T2938,0,0.055606
T2997,0,0.055613
T2658,1,0.000091
T2986,1,0.000091
T1353,1,0.000092
T1317,1,0.000092
T1923,1,0.000093
T2163,1,0.035450
T402,1,0.035376
T143,1,0.035375
T2671,1,0.030285
T2133,1,0.030243
T1048,1,0.030244
T1806,1,0.030245
T907,1,-0.017751
T809,1,-0.017751
T2144,1,-0.017750
T231,1,-0.017940
T2259,1,-0.017941
T1483,1,-0.017989
T1589,1,-0.017991
T2875,1,-0.017993
T1828,1,0.016510
