# Taxon Label, Partition Group (0 or 1), Fiedler Value
T1667,1,-0.001539
T530,1,-0.001540
T1087,1,-0.001539
T887,1,-0.001537
T937,1,-0.001556
T1475,1,-0.001546
T1313,1,-0.001546
T1904,1,-0.001546
T746,1,-0.001539
T1639,1,-0.001540
T1522,1,-0.001540
T300,1,-0.001543
T371,1,-0.001545
T82,1,-0.001545
T103,1,-0.001545
T1834,1,-0.001544
T1745,1,-0.001546
T1744,1,-0.001578
T430,1,-0.001578
T1814,1,-0.001571
T329,1,-0.001565
T1233,1,-0.001554
T159,1,-0.001554
T773,1,-0.001554
T1429,1,-0.001571
T1912,1,-0.001572
T1418,1,-0.001576
T354,1,-0.001576
T919,1,-0.001576
T1316,1,-0.001575
T409,1,-0.001591
T1853,1,-0.001572
T1214,1,-0.001572
T1358,1,-0.001572
T236,1,-0.001576
T1542,1,-0.001580
T258,1,-0.001579
T1689,1,-0.001579
T1084,1,-0.001579
T992,1,-0.001580
T205,1,-0.001582
T1845,1,-0.001583
T301,1,-0.001583
T958,1,-0.001583
T1767,1,-0.001590
T895,1,-0.001590
T714,1,-0.001582
T1640,1,-0.001574
T1557,1,-0.002004
T1392,1,-0.001953
T1576,1,-0.001969
T1000,1,-0.001969
T1634,1,-0.001983
T469,1,-0.001961
T491,1,-0.001962
T969,1,-0.001958
T142,1,-0.001960
T1575,1,-0.001964
T785,1,-0.002007
T4,1,-0.002008
T385,1,-0.002011
T1619,1,-0.002011
T243,1,-0.002011
T1216,1,-0.002011
T1173,1,-0.002011
T681,1,-0.002011
T642,1,-0.002009
T268,1,-0.002005
T223,1,-0.002079
T1159,1,-0.002073
T1921,1,-0.002079
T425,1,-0.002080
T983,1,-0.001586
T1161,1,-0.001585
T1519,1,-0.001589
T1664,1,0.005715
T451,1,0.005712
T620,1,0.005712
T249,1,0.007226
T1039,1,0.007224
T1275,1,0.007227
T251,1,0.007228
T59,1,0.007226
T1070,1,0.007236
T1411,1,0.007237
T1390,1,0.007237
T1848,1,0.006824
T1017,1,0.006823
T581,1,0.010696
T336,1,0.010695
T757,1,0.010695
T1399,1,0.010695
T694,1,0.010695
T1279,1,0.010695
T705,1,0.010695
T583,1,0.010695
T213,1,0.010695
T809,1,0.010695
T1662,1,0.010942
T719,1,0.010919
T732,1,0.003084
T1485,1,0.003080
T985,1,0.003633
T470,1,0.003621
T452,1,0.003621
T505,1,0.003627
T335,1,0.003629
T1823,1,0.003629
T1820,1,0.003629
T1026,1,0.003628
T1228,1,0.003627
T1920,1,0.003627
T1516,1,0.003632
T1163,1,0.003628
T1167,1,0.003627
T1501,1,0.003630
T1133,1,0.003642
T1903,1,0.003643
T685,1,0.003643
T1553,1,-0.027780
T643,0,0.130730
T723,0,0.130735
T831,0,0.130734
T1618,0,0.130752
T965,0,0.130734
T1143,0,0.130757
T1933,0,0.130757
T1968,0,0.130757
T30,0,0.130757
T1322,0,0.130740
T1635,0,0.130742
T1138,0,0.130706
T1310,1,0.002270
T83,1,0.006222
T1258,1,0.006222
T370,1,0.006207
T218,1,0.006209
T1983,1,0.006209
T548,1,0.006239
T1751,1,0.006702
T1465,1,0.006703
T10,1,-0.002189
T378,1,-0.002191
T364,1,-0.002191
T654,1,-0.002191
T1067,1,-0.002191
T1402,1,-0.002192
T689,1,-0.002191
T667,1,-0.002192
T1340,1,0.001301
T1579,1,0.001301
T612,1,0.001303
T1198,1,0.001303
T1838,1,0.001303
T740,1,0.001303
T1670,1,0.001303
T55,1,0.003606
T602,1,0.003606
T1086,1,-0.001153
T1739,1,-0.001153
T1335,1,-0.001154
T1562,1,-0.001154
T1638,1,-0.001150
T1960,1,-0.001150
T769,1,-0.001149
T1015,1,-0.001150
T131,1,-0.001151
T1482,1,-0.001149
T1526,1,-0.001145
T48,1,-0.001146
T1970,1,-0.001147
T1811,1,-0.001146
T217,1,-0.001150
T286,1,-0.001149
T1041,1,-0.001149
T1582,1,-0.001144
T124,1,-0.001149
T220,1,-0.001149
T1240,1,-0.001149
T1484,1,-0.001147
T1586,1,-0.001146
T375,1,-0.001146
T835,1,-0.001146
T17,1,-0.001002
T419,1,-0.001003
T1436,1,-0.001003
T1137,1,-0.001012
T796,1,-0.001011
T674,1,-0.001011
T1550,1,-0.001012
T494,1,-0.013908
T143,1,-0.013904
T368,1,-0.010708
T500,1,-0.010708
T1328,1,-0.010709
T200,1,-0.010542
T1043,1,-0.005379
T1500,1,-0.007470
T659,1,-0.007467
T1781,1,-0.007461
T568,1,-0.007901
T834,1,-0.007721
T1486,1,-0.005998
T1708,1,-0.006002
T742,1,-0.005998
T1523,1,-0.005998
T318,1,-0.005997
T414,1,-0.005998
T1274,1,-0.005997
T117,1,-0.005997
T840,1,-0.005997
T1993,1,-0.005997
T534,1,-0.006001
T173,1,-0.006001
T839,1,-0.005995
T1624,1,-0.005995
T974,1,-0.005996
T22,1,-0.005996
T1919,1,-0.006005
T321,1,-0.006001
T18,1,-0.006001
T934,1,-0.005990
T566,1,-0.005991
T1093,1,-0.005992
T168,1,-0.005991
T176,1,-0.005991
T1438,1,-0.005990
T1807,1,-0.005990
T138,1,-0.005990
T861,1,-0.005990
T1195,1,0.001082
T555,1,-0.011358
T37,1,-0.011359
T328,1,-0.011359
T338,1,-0.011358
T1476,1,-0.011359
T979,1,-0.011500
T1565,1,-0.011498
T532,1,-0.011519
T2000,1,-0.011519
T848,1,-0.011519
T358,1,-0.011519
T1812,1,-0.026801
T284,1,-0.026801
T528,1,-0.026802
T228,1,-0.026800
T976,1,-0.026800
T1135,1,-0.026802
T448,1,-0.026622
T1630,1,-0.026621
T198,1,-0.026783
T1014,1,0.012144
T1220,1,0.012144
T558,1,0.012144
T1389,1,0.012144
T265,1,0.012144
T1398,1,0.012144
T1327,1,0.012144
T1906,1,0.012144
T1994,1,0.012144
T45,1,0.012144
T1470,1,0.012144
T1307,1,0.012144
T876,1,0.012144
T401,1,0.011543
T1104,1,0.011532
T72,1,0.011532
T1356,1,0.011537
T1334,1,0.011537
T1536,1,0.011537
T247,1,0.011540
T691,1,0.011541
T347,1,0.011536
T1372,1,0.011536
T1308,1,0.011536
T619,1,0.011536
T1292,1,0.011536
T1990,1,0.011535
T1599,1,0.011536
T1659,1,0.011572
T1601,1,0.011573
T798,1,0.011573
T32,1,-0.089381
T454,1,-0.089332
T1251,1,-0.089332
T653,1,-0.089333
T1205,1,-0.089319
T1788,1,-0.089319
T428,1,-0.089300
T1701,1,-0.089301
T1011,1,-0.089294
T701,1,-0.089298
T482,1,-0.089294
T115,1,-0.089300
T729,1,-0.089292
T47,1,-0.089293
T870,1,-0.089297
T1096,1,-0.089297
T1636,1,-0.089498
T991,1,-0.169383
T639,1,-0.169384
T429,1,-0.170722
T1603,1,-0.170723
T438,1,-0.170721
T465,1,-0.170722
T135,1,-0.170722
T112,1,-0.170723
T1931,1,-0.170722
T434,1,-0.170721
T1881,1,-0.170725
T901,1,-0.170792
T1062,1,-0.170791
T1760,1,-0.170798
T256,0,0.144438
T1272,0,0.144452
T725,0,0.144406
T1319,0,0.144406
T307,0,0.144109
T3,0,0.144121
T1655,0,0.144115
T449,0,0.144142
T1393,0,0.140212
T1717,1,-0.003188
T187,1,-0.003188
T1130,1,0.026226
T441,1,0.026230
T1628,1,0.026229
T953,1,0.026250
T1387,1,0.026240
T476,1,0.026246
T951,1,0.026246
T261,1,0.026245
T1889,1,0.026246
T1169,1,0.026234
T1427,1,0.026234
T607,1,0.026234
T133,1,0.026234
T479,1,0.026234
T618,1,0.040967
T786,1,0.040967
T312,1,0.040967
T1910,1,0.040967
T447,1,0.040968
T1406,1,0.040969
T232,1,0.040740
T601,1,0.040681
T96,1,0.040681
T1513,1,0.040680
T1521,1,0.040797
T539,1,0.040847
T317,1,0.040848
T1366,1,0.057385
T1725,1,0.057385
T1604,1,0.057388
T541,1,0.057380
T433,1,0.057380
