# Taxon Label, Partition Group (0 or 1), Fiedler Value
T2682,1,-0.004963
T2052,1,-0.004586
T2768,1,-0.004586
T667,1,-0.004586
T367,1,-0.004586
T2154,1,-0.004781
T122,1,-0.004648
T366,1,-0.004648
T1135,1,-0.004620
T831,1,-0.004620
T1662,1,-0.001009
T1250,1,-0.001010
T1534,1,-0.001009
T152,1,-0.001012
T2949,1,-0.001050
T2500,1,-0.001049
T258,1,-0.001045
T2771,1,-0.000709
T1564,1,0.004256
T1400,1,0.004317
T2249,1,0.004346
T214,1,0.004348
T916,1,0.004333
T2531,1,0.003573
T44,1,0.003364
T1910,1,0.003368
T1046,1,0.002908
T1875,1,0.004008
T1513,1,0.004008
T2572,1,-0.006311
T678,1,-0.006406
T1106,1,-0.007001
T2341,1,-0.007007
T974,1,-0.007007
T2047,1,-0.007001
T2867,0,0.677287
T2270,0,0.677284
T2256,1,0.002882
T1036,1,0.002891
T83,1,0.002891
T436,1,0.002891
T1699,1,0.002891
T712,1,0.002893
T1366,1,0.002894
T2895,1,0.002893
T474,1,0.002879
T1224,1,0.004810
T1342,1,-0.017547
T1677,1,-0.013472
T2238,1,-0.014056
T2802,1,-0.014057
T2370,1,-0.014057
T1059,1,-0.014057
T2587,1,-0.014057
T1744,1,0.004083
T39,1,0.004085
T2538,1,0.004086
T88,1,0.004069
T1459,1,0.004069
T2484,1,0.004065
T1912,1,0.004061
T1188,1,0.003996
T2542,1,0.006564
T533,1,0.006566
T2596,1,0.003758
T531,1,0.003699
T639,1,0.003700
T124,1,0.003699
T37,1,-0.006322
T176,1,-0.006322
T1737,1,-0.006336
T339,1,-0.006336
T219,1,-0.006332
T1379,1,-0.006372
T751,1,-0.006375
T788,1,0.001585
T721,1,0.001569
T989,1,-0.010715
T1762,1,-0.010715
T513,1,-0.010715
T397,1,-0.010716
T1218,1,0.000815
T400,1,0.003768
T2857,1,0.003769
T384,1,0.003769
T869,1,0.003769
T2382,1,0.012832
T672,1,0.004399
T675,1,0.004399
T2425,1,0.004400
T2073,1,0.004400
T1622,1,0.005930
T845,1,0.005933
T2482,1,0.006226
T2360,1,0.006226
T745,1,0.006228
T2237,1,0.006224
T1769,1,0.006225
T2600,1,0.006225
T227,1,0.003858
T1074,1,0.002428
T1545,1,-0.002614
T2965,1,-0.002614
T1183,1,-0.003949
T2222,1,-0.003952
T2866,1,-0.003955
T593,1,-0.003823
T1116,1,-0.003610
T2523,1,-0.003591
T2749,1,-0.003593
T1481,1,-0.003593
T947,1,-0.003593
T1274,1,-0.003593
T2245,1,-0.003593
T2515,1,-0.004576
T2312,1,-0.004576
T1086,1,-0.003953
