# Taxon Label, Partition Group (0 or 1), Fiedler Value
T2642,0,0.004059
T129,0,0.004063
T2806,0,0.004053
T2496,0,0.004053
T137,0,0.004052
T504,0,0.004052
T2795,0,0.004052
T2307,0,0.004054
T2520,0,0.004050
T337,0,0.004052
T569,0,0.004053
T1077,0,0.004053
T704,0,0.004054
T805,0,0.004054
T1941,0,0.004053
T1536,0,0.004052
T1226,0,0.004053
T313,0,0.004052
T1020,0,0.004054
T1888,0,0.004050
T231,0,0.004056
T2937,0,0.004047
T1618,0,0.004055
T196,0,0.004042
T2626,0,0.004042
T882,0,0.004044
T1001,0,0.004042
T2471,0,0.004045
T1622,0,0.004042
T214,0,0.004034
T593,0,0.004035
T1201,0,0.004035
T1052,0,0.004035
T2204,0,0.004043
T2586,0,0.004042
T1815,0,0.004033
T926,0,0.004032
T2107,0,0.004031
T341,0,0.004031
T2257,0,0.004081
T2971,0,0.004083
T2590,0,0.004088
T660,0,0.004089
T170,0,0.004088
T1552,0,0.004090
T2453,0,0.004039
T438,0,0.004039
T647,0,0.004039
T1341,0,0.004031
T1429,0,0.004031
T2976,0,0.004031
T2155,0,0.004031
T2326,0,0.004031
T1160,0,0.004031
T847,0,0.004031
T806,0,0.004031
T843,0,0.004003
T1701,0,0.004025
T1476,0,0.004021
T718,0,0.004016
T577,0,0.003917
T1997,0,0.006357
T366,0,0.006388
T2705,0,0.006387
T833,0,0.006385
T2028,0,0.006389
T306,0,0.006388
T2992,0,0.006384
T2567,0,0.006379
T154,0,0.006931
T2061,0,0.006824
T2963,0,0.006824
T2709,0,0.006562
T940,0,0.006562
T1654,0,0.006562
T269,0,0.006561
T1864,0,0.006561
T1724,0,0.006625
T523,0,0.006625
T2305,0,0.006624
T2467,0,0.006656
T2863,0,0.006672
T1679,0,0.006679
T1930,0,0.006680
T333,0,0.006665
T1013,0,0.006608
T2017,0,0.006609
T1437,0,0.006583
T2217,0,0.006583
T837,0,0.006583
T1808,0,0.006562
T2546,0,0.006560
T1296,0,0.006561
T1659,0,0.006561
T301,0,0.006560
T2771,0,0.006560
T2678,0,0.006560
T2042,0,0.006568
T510,0,0.006568
T1426,0,0.006564
T1460,0,0.006618
T1313,0,0.006620
T362,0,0.006628
T2950,0,0.006628
T2715,0,0.006627
T2747,0,0.006624
T2746,0,0.006624
T1023,0,0.006624
T2490,0,0.006624
T1948,0,0.006624
T703,0,0.006624
T614,0,0.006624
T977,0,0.006618
T2394,0,0.006618
T1532,0,0.006619
T2693,0,0.006619
T2237,0,0.006617
T2562,0,0.006616
T777,0,0.006615
T2224,0,0.006616
T909,0,0.006617
T2118,0,0.006619
T2542,0,0.006618
T1063,0,0.006618
T1333,0,0.006617
T1002,0,0.006615
T365,0,0.006615
T1390,0,0.006617
T1531,0,0.006616
T2291,0,0.006618
T159,0,0.006622
T2545,0,0.006622
T493,0,0.006627
T412,0,0.006637
T1866,0,0.006637
T2158,0,0.006639
T238,0,0.006639
T2804,0,0.006626
T2089,0,0.006625
T1635,0,0.006629
T2852,0,0.006626
T1839,0,0.006626
T587,0,0.006633
T2527,0,0.006633
T171,0,0.006632
T1802,0,0.006629
T1903,0,0.006628
T1012,0,0.006627
T1197,0,0.006627
T783,0,0.006628
T967,0,0.006624
T1400,0,0.006627
T1517,0,0.006625
T2209,0,0.006630
T1129,0,0.006637
T2489,0,0.006637
T1181,0,0.006647
T1969,0,0.006640
T2154,0,0.006610
T951,0,0.006612
T90,0,0.006636
T1764,0,0.006629
T1492,0,0.006629
T2312,0,0.006625
T1876,0,0.006631
T2912,0,0.006637
T1337,0,0.006637
T2947,0,0.006637
T2758,0,0.006639
T1917,0,0.006638
T194,0,0.006600
T1097,0,0.006634
T23,0,0.006631
T2915,0,0.006630
T1750,0,0.006630
T1162,0,0.006630
T972,0,0.006633
T180,0,0.006633
T981,0,0.006603
T2402,0,0.006623
T1945,0,0.006600
T1327,0,0.006600
T2864,0,0.006589
T1383,0,0.006590
T2837,0,0.006628
T606,0,0.006619
T1935,0,0.006616
T1657,0,0.006743
T668,0,0.006743
T1589,0,0.006744
T2928,0,0.006744
T1419,0,0.006744
T1539,0,0.006744
T342,0,0.006743
T2650,0,0.006780
T1570,0,0.006816
T929,0,0.006814
T322,0,0.006435
T2469,0,0.006416
T1115,0,0.006701
T1467,0,0.006500
T1741,0,0.006891
T2639,0,0.006262
T1144,0,0.006252
T1595,0,0.006248
T1981,0,0.006248
T319,0,0.006247
T2030,0,0.006243
T2962,0,0.006275
T209,0,0.006299
T1215,0,0.006287
T2990,0,0.006283
T2080,0,0.006284
T2000,0,0.006283
T468,0,0.006286
T1999,0,0.006291
T387,0,0.006289
T811,0,0.006291
T66,0,0.006292
T94,0,0.006292
T1431,0,0.006300
T190,0,0.006301
T780,0,0.006300
T29,0,0.006301
T474,0,0.006302
T864,0,0.006302
T283,0,0.006298
T952,0,0.006297
T1783,0,0.006302
T918,0,0.006303
T2109,0,0.006271
T1585,0,0.006263
T969,0,0.006283
T1695,0,0.006249
T533,0,0.006241
T2066,0,0.006242
T2368,0,0.006251
T513,0,0.006245
T1996,0,0.006243
T1964,0,0.006243
T838,0,0.006243
T1707,0,0.006245
T1095,0,0.006244
T779,0,0.006252
T1475,0,0.006250
T2009,0,0.006248
T920,0,0.006247
T2213,0,0.006247
T1288,0,0.006249
T2113,0,0.006253
T1356,0,0.006255
T336,0,0.006256
T1060,0,0.006257
T717,0,0.006248
T2532,0,0.006247
T1184,0,0.006247
T802,0,0.006247
T288,0,0.006245
T2654,0,0.006245
T290,0,0.006245
T2882,0,0.006248
T2324,0,0.006248
T2361,0,0.006245
T1979,0,0.006245
T2102,0,0.006245
T1186,0,0.006247
T1564,0,0.006245
T1250,0,0.006241
T1811,0,0.006244
T2279,0,0.006244
T2582,0,0.006245
T1200,0,0.006245
T2148,0,0.006245
T1928,0,0.006240
T993,0,0.006245
T1225,0,0.006245
T1374,0,0.006235
T235,0,0.006244
T1021,0,0.006244
T1495,0,0.006246
T2321,0,0.006245
T2737,0,0.006267
T659,0,0.006262
T1987,0,0.006276
T2514,0,0.006309
T2982,0,0.006272
T1150,0,0.006290
T605,0,0.006291
T2646,0,0.006288
T560,0,0.006291
T1885,0,0.006291
T456,0,0.006291
T2126,0,0.006272
T2431,0,0.006237
T2827,0,0.006255
T904,0,0.006255
T974,0,0.006262
T2358,0,0.006275
T506,0,0.006276
T1370,0,0.006275
T1450,0,0.006275
T1537,0,0.006272
T901,0,0.006262
T755,0,0.006360
T1704,0,0.006360
T1986,0,0.006360
T2676,0,0.006359
T511,0,0.006359
T2551,0,0.006358
T2343,0,0.006357
T1556,0,0.006361
T87,0,0.006252
T2221,0,0.006250
T2473,0,0.006251
T862,0,0.006248
T781,0,0.006248
T2895,0,0.006247
T624,0,0.006247
T1119,0,0.006301
T844,0,0.007748
T1114,0,0.007754
T1623,0,0.007750
T744,0,0.007689
T2749,0,0.007688
T294,0,0.007637
T188,0,0.007635
T956,0,0.007633
T2530,0,0.007633
T937,0,0.007618
T1493,0,0.007618
T2274,0,0.008666
T11,0,0.007445
T2894,0,0.007445
T931,0,0.007444
T1594,0,0.007847
T831,0,0.007366
T1090,0,0.007281
T1648,0,0.007284
T135,0,0.007400
T2244,0,0.007240
T165,0,0.007240
T423,0,0.007220
T1861,0,0.007210
T114,0,0.007220
T395,0,0.007219
T2233,0,0.007221
T856,0,0.007220
T1510,0,0.007226
T13,0,0.007209
T2430,0,0.007204
T1301,0,0.007244
T65,0,0.007273
T2072,0,0.007243
T203,0,0.007265
T690,0,0.007266
T2280,0,0.007272
T1342,0,0.007272
T855,0,0.007271
T2228,0,0.007272
T1069,0,0.007269
T2331,0,0.007269
T2369,0,0.007268
T2644,0,0.007268
T1934,0,0.007268
T1070,0,0.007252
T2372,0,0.007254
T670,0,0.007255
T1489,0,0.007255
T226,0,0.007255
T1258,0,0.007251
T347,0,0.007251
T1797,0,0.007250
T1795,0,0.007251
T2384,0,0.007250
T863,0,0.007250
T2162,0,0.007233
T834,0,0.007232
T2403,0,0.007232
T539,0,0.007241
T1345,0,0.007240
T1913,0,0.007241
T1138,0,0.007243
T2146,0,0.007243
T391,0,0.007239
T2332,0,0.007217
T274,0,0.007220
T1071,0,0.007109
T2867,0,0.007111
T420,0,0.007107
T2647,0,0.007107
T2475,0,0.007107
T1833,0,0.007109
T889,0,0.007109
T2927,0,0.007107
T1633,0,0.010076
T2160,0,0.010040
T461,0,0.010018
T1803,0,0.010029
T765,0,0.010030
T1591,0,0.010030
T879,0,0.010030
T2624,0,0.010030
T713,0,0.010034
T326,0,0.010031
T1318,0,0.010032
T714,0,0.010031
T1306,0,0.010048
T1432,0,0.010199
T568,0,0.010199
T2299,0,0.010200
T1316,0,0.010210
T599,0,0.010210
T2803,0,0.010207
T1875,0,0.010207
T1572,0,0.010207
T968,0,0.010028
T736,0,0.010029
T854,0,0.010042
T572,0,0.010038
T1993,0,0.010038
T2615,0,0.010038
T808,0,0.010030
T2401,0,0.010028
T1973,0,0.006265
T2593,0,0.006243
T75,0,0.006241
T2417,0,0.006245
T2821,0,0.006244
T121,0,0.006243
T1081,0,0.006216
T361,0,0.006215
T221,0,0.006217
T1416,0,0.006229
T1929,0,0.006171
T2320,0,0.006170
T1216,0,0.006158
T2640,0,0.006157
T2765,0,0.006164
T740,0,0.006164
T1655,0,0.006165
T988,0,0.006166
T2662,0,0.006167
T1550,0,0.006163
T1889,0,0.006365
T1620,0,0.006365
T2119,0,0.006388
T1166,0,0.006388
T400,0,0.006388
T1319,0,0.006394
T1809,0,0.006362
T70,0,0.006385
T2226,0,0.006383
T509,0,0.005932
T2222,0,0.005931
T2143,0,0.005931
T739,0,0.006266
T2230,0,0.006263
T515,0,0.006337
T2597,0,0.006339
T2034,0,0.006337
T1299,0,0.006360
T1700,0,0.006131
T1312,0,0.004033
T702,0,0.004033
T1792,0,0.004034
T57,0,0.004034
T1350,0,0.004064
T2046,0,0.004139
T899,0,0.003961
T409,0,0.003961
T1498,0,0.003960
T845,0,0.003977
T640,0,0.003953
T2517,0,0.003961
T727,0,0.003960
T1675,0,0.003984
T762,0,0.003984
T2870,0,0.003981
T2964,0,0.003979
T2923,0,0.003980
T280,0,0.003980
T2461,0,0.003980
T1661,0,0.003981
T2005,0,0.003978
T1027,0,0.003970
T2178,0,0.003991
T1330,0,0.003970
T787,0,0.003971
T874,0,0.003975
T2563,0,0.003974
T1677,0,0.003970
T611,0,0.003971
T84,0,0.003969
T1208,0,0.003969
T1305,0,0.003971
T1619,0,0.003970
T2157,0,0.003923
T2022,0,0.003959
T1673,0,0.003959
T1865,0,0.003947
T183,0,0.004085
T1735,0,0.004088
T364,0,0.004087
T2886,0,0.004060
T1520,0,0.004058
T2933,0,0.004060
T570,0,0.006059
T2269,0,0.006872
T2892,0,0.006870
T825,0,0.006817
T98,0,0.006817
T1148,0,0.006820
T2776,0,0.006998
T2745,0,0.006995
T312,0,0.007002
T697,0,0.007002
T49,0,0.007004
T353,0,0.007009
T1680,0,0.007008
T197,0,0.007008
T1165,0,0.007009
T1253,0,0.007007
T1545,0,0.007008
T2283,0,0.007004
T2053,0,0.007003
T1073,0,0.006382
T1629,0,0.006384
T396,0,0.006368
T338,0,0.006293
T1417,0,0.006298
T1820,0,0.006289
T1398,0,0.006276
T760,0,0.006275
T2822,0,0.006359
T2285,0,0.006355
T2485,0,0.006355
T2127,0,0.006357
T1,0,0.006356
T2455,0,0.006357
T876,0,0.006356
T1573,0,0.006354
T1584,0,0.006352
T1111,0,0.006353
