# Taxon Label, Partition Group (0 or 1), Fiedler Value
T17,0,-0.026001
T246,0,-0.025986
T473,0,-0.025788
T354,0,-0.025777
T418,0,-0.025829
T774,0,-0.026407
T447,0,-0.026072
T462,0,-0.026289
T69,0,-0.026287
T792,0,-0.026426
T649,0,-0.026428
T472,0,-0.026427
T892,0,-0.026159
T682,0,-0.026190
T697,0,-0.025952
T365,0,-0.025950
T364,0,-0.026059
T522,0,-0.026060
T485,0,-0.026062
T15,0,-0.026094
T121,0,-0.026070
T887,0,-0.026097
T753,0,-0.026085
T612,0,-0.026086
T688,0,-0.026083
T78,0,-0.026087
T815,0,-0.026065
T222,0,-0.026122
T395,0,-0.026144
T650,0,-0.026146
T388,0,-0.026143
T426,0,-0.026128
T969,0,-0.026135
T204,0,-0.026126
T250,0,-0.026131
T625,0,-0.026132
T718,0,-0.026112
T915,0,-0.026099
T896,0,-0.026051
T854,0,-0.026061
T966,0,-0.026045
T415,0,-0.026045
T693,0,-0.026021
T747,0,-0.026030
T978,0,-0.026001
T853,0,-0.026044
T771,0,-0.026030
T698,0,-0.026031
T814,0,-0.026011
T7,0,-0.025987
T689,0,-0.026093
T988,0,-0.026077
T655,0,-0.026148
T16,0,-0.026127
T150,0,-0.026096
T484,0,-0.026088
T916,0,-0.026127
T935,0,-0.026061
T633,0,-0.026076
T580,0,-0.026061
T430,0,-0.026064
T538,0,-0.026056
T492,0,-0.026111
T545,0,-0.026122
T63,0,-0.026122
T243,0,-0.026447
T595,0,-0.026454
T869,0,-0.026450
T542,0,-0.026454
T617,0,-0.026047
T648,0,-0.026070
T83,0,-0.026088
T478,0,-0.026087
T862,0,-0.026065
T765,0,-0.026093
T161,0,-0.026088
T553,0,-0.026126
T800,0,-0.026301
T724,0,-0.026395
T24,0,-0.026392
T291,0,-0.026361
T115,0,-0.026301
T71,0,-0.026227
T576,0,-0.026223
T590,0,-0.026212
T527,0,-0.026208
T257,0,-0.026262
T482,0,-0.026425
T941,0,-0.026400
T56,0,-0.026045
T174,0,-0.025984
T587,0,-0.025990
T788,0,-0.025997
T691,0,-0.026048
T99,0,-0.026027
T558,0,-0.025950
T232,0,-0.025947
T459,0,-0.025939
T734,0,-0.025949
T334,0,-0.025937
T868,0,-0.025938
T338,0,-0.025947
T708,0,-0.025991
T200,0,-0.025987
T5,0,-0.026018
T105,0,-0.026019
T520,0,-0.026009
T411,0,-0.025998
T746,0,-0.026000
T461,0,-0.025975
T499,0,-0.025997
T671,0,-0.026061
T130,0,-0.026066
T168,0,-0.026069
T498,0,-0.025928
T630,0,-0.026007
T352,0,-0.025967
T32,0,-0.025927
T92,0,-0.026051
T728,0,-0.026051
T529,0,-0.026053
T287,0,-0.026023
T534,0,-0.025987
T913,0,-0.026004
T400,0,-0.026003
T283,0,-0.026038
T163,0,-0.026033
T911,0,-0.026035
T525,0,-0.026026
T451,0,-0.026029
T191,0,-0.026063
T695,0,-0.026019
T359,0,-0.026035
T439,0,-0.026033
T557,0,-0.026050
T873,0,-0.026051
T120,0,-0.026003
T751,0,-0.026003
T224,0,-0.025990
T221,0,-0.025963
T626,0,-0.026028
T64,0,-0.025949
T932,0,-0.025965
T207,0,-0.025961
T25,0,-0.025961
T861,0,-0.025960
T762,0,-0.025965
T317,0,-0.025966
T586,0,-0.026666
T836,0,-0.026661
T424,0,-0.026661
T737,0,-0.026663
T721,0,-0.026632
T349,0,-0.026647
T474,0,-0.026629
T479,0,-0.026640
T665,0,-0.026654
T12,0,-0.026663
T455,0,-0.026652
T846,0,-0.026645
T113,0,-0.026641
T834,0,-0.026551
T321,0,-0.026561
T339,0,-0.026611
T613,0,-0.026604
T738,0,-0.026539
T42,0,-0.026586
T518,0,-0.026506
T255,0,-0.026789
T843,0,-0.026759
T536,0,-0.026770
T632,0,-0.026273
T72,0,-0.026326
T177,0,-0.026094
T827,0,-0.026079
T495,0,-0.026115
T540,0,-0.026111
T491,0,-0.026087
T29,0,-0.026084
T674,0,-0.026157
T381,0,-0.026158
T581,0,-0.026016
T670,0,-0.026179
T118,0,-0.026177
T58,0,-0.026143
T937,0,-0.025939
T533,0,-0.025943
T813,0,-0.025952
T65,0,-0.025942
T126,0,-0.025894
T122,0,-0.025895
T778,0,-0.025872
T706,0,-0.025923
T894,0,-0.025916
T8,0,-0.025928
T369,0,-0.025905
T412,0,-0.025903
T840,0,-0.025872
T67,0,-0.025866
T372,0,-0.025923
T857,0,-0.025946
T442,0,-0.026160
T277,0,-0.026143
T157,0,-0.026138
T596,0,-0.026157
T323,0,-0.026182
T290,0,-0.026170
T328,0,-0.026176
T235,0,-0.025688
T147,0,-0.026711
T928,0,-0.026710
T604,0,-0.026689
T709,0,-0.026754
T750,0,-0.026606
T38,0,-0.026613
T268,0,-0.026619
T414,0,-0.026608
T396,0,-0.026671
T151,0,-0.026739
T888,0,-0.026730
T119,0,-0.026742
T513,0,-0.026739
T94,0,-0.026730
T107,0,-0.026729
T945,0,-0.026729
T933,0,-0.026737
T855,0,-0.026740
T955,0,-0.026743
T4,0,-0.026729
T44,0,-0.026733
T294,0,-0.026736
T610,0,-0.026726
T387,0,-0.026737
T700,0,-0.026705
T308,0,-0.026787
T914,0,-0.026797
T315,0,-0.026801
T963,0,-0.026801
T619,0,-0.026754
T947,0,-0.026757
T555,0,-0.026744
T217,0,-0.026934
T866,0,-0.026928
T549,0,-0.026932
T135,0,-0.026929
T663,0,-0.026942
